,Índice,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,% Dif. Año
53,FTSE4Good IBEX Total Return,"23.630,40","0,97%","23.658,70","23.429,90",06/04/2023,17:38:00,"14,01%"
54,FTSE4Good IBEX Net Return,"20.654,40","0,92%","20.679,10","20.479,10",06/04/2023,17:38:00,"13,74%"
55,Latibex AS,"2.198,80","-0,29%","2.223,80","2.198,80",06/04/2023,17:38:00,"-4,84%"
56,Latibex TOP,"5.024,10","-0,47%","5.063,60","5.024,10",06/04/2023,17:38:00,"-5,93%"
57,Latibex BRASIL,"10.319,30","-0,66%","10.427,90","10.319,30",06/04/2023,17:38:00,"-7,84%"
58,I.G.B.M.,"926,30","0,73%","927,22","919,74",06/04/2023,17:38:00,"12,93%"
59,I.G.B.M. Total,"4.308,59","1,01%","4.308,59","4.308,59",06/04/2023,,"14,40%"
60,BCN GLOBAL 100 (Base 1986),"749,19","0,80%","750,09","743,83",06/04/2023,17:38:00,"12,36%"
61,BCN GLOBAL 100 (Base 1963),"1.925,54","0,80%","1.927,86","1.911,76",06/04/2023,17:38:00,"12,36%"
62,BCN MID 50,"24.923,62","0,65%","24.955,15","24.737,27",06/04/2023,17:38:00,"12,21%"
63,BCN PROFIT-30,"11.999,44","0,68%","12.012,65","11.927,97",06/04/2023,17:38:00,"9,48%"
64,BCN ROE-30,"16.822,41","0,67%","16.835,64","16.736,15",06/04/2023,17:38:00,"6,61%"
65,BCN PER-30,"18.214,87","1,07%","18.223,65","18.069,25",06/04/2023,17:38:00,"5,47%"
66,BCN INDEXCAT,"20.327,76","0,85%","20.363,71","20.074,67",06/04/2023,17:38:00,"6,59%"
67,I.BILBAO 2000,"1.484,96","0,51%","1.487,08","1.477,30",06/04/2023,17:38:00,"13,32%"
68,I.G.B.V.,"1.437,61","0,87%","1.439,45","1.428,17",06/04/2023,17:38:00,"14,50%"
69,Índice TEF Apalancado X3,"287,80","2,06%","292,20","274,60",06/04/2023,17:38:00,"65,31%"
70,Índice SAN Apalancado X3,"336,40","9,29%","336,40","311,00",06/04/2023,17:38:00,"73,67%"
71,Índice BBVA Apalancado X3,"738,80","5,56%","746,60","709,50",06/04/2023,17:38:00,"54,43%"
72,Índice ITX Apalancado X3,"3.104,70","-3,14%","3.239,10","3.089,10",06/04/2023,17:38:00,"72,73%"
73,Índice TEF Apalancado X5,"217,90","3,42%","223,40","201,50",06/04/2023,17:38:00,"118,99%"
74,Índice SAN Apalancado X5,"526,90","15,47%","526,90","464,10",06/04/2023,17:38:00,"101,11%"
75,Índice BBVA Apalancado X5,"274,80","9,26%","279,40","257,20",06/04/2023,17:38:00,"58,39%"
76,Índice ITX Apalancado X5,"80,70","-5,28%","86,70","80,00",06/04/2023,17:38:00,"127,97%"
77,Índice TEF Inverso X3,"322,80","-2,09%","338,20","317,60",06/04/2023,17:38:00,"-47,13%"
78,Índice SAN Inverso X3,"6.881,40","-9,32%","7.507,50","6.881,40",06/04/2023,17:38:00,"130,00%"
79,Índice BBVA Inverso X3,"3.962,30","-5,59%","4.137,70","3.915,50",06/04/2023,17:38:00,"-58,16%"
80,Índice ITX Inverso X3,"59,60","3,11%","59,90","57,20",06/04/2023,17:38:00,"-51,82%"
81,Índice TEF Inverso X5,"1.471,10","-3,50%","1.590,10","1.431,40",06/04/2023,17:38:00,"-67,48%"
82,Índice SAN Inverso X5,"75,30","-15,58%","87,60","75,30",06/04/2023,17:38:00,"-83,17%"
83,Índice BBVA Inverso X5,"83,80","-9,31%","90,20","82,10",06/04/2023,17:38:00,"-80,68%"
84,Índice ITX Inverso X5,"74,70","5,21%","75,20","69,70",06/04/2023,17:38:00,"-72,82%"
